"","ds","Month","Temp","ID","mass","mass_prev","SGR","SGR_2m","SMR","SMR_mass","SMR_resid","SMR_prev","SMR_mass_prev","MMR","MMR_mass","MMR_prev","MMR_mass_prev","Ratio","Ratio_linear","log_SMR","log_MMR","log_mass"
"108","B1","May","18","B1_25",2.28,1.82,NA,0.812473742454909,0.401639311,NA,0.003563153,0.037321375,NA,1.367595115,NA,0.546035819,NA,NA,NA,-0.39616378661291,0.135957540843237,0.357934847000454
"109","B1","June","18","B1_25",2.71,2.28,0.7198883,0.268543208985324,0.537628152,NA,0.071653357,0.401639311,NA,1.585202833,NA,1.367595115,NA,NA,NA,-0.269517998253812,0.200084839813532,0.432969290874406
"110","B1","July","18","B1_25",2.65,2.71,-0.069965609,-0.756445325723353,0.379208553,NA,-0.072362534,0.537628152,NA,1.16997851,NA,1.585202833,NA,73.9169723607974,77.034798799994,-0.421121875767481,0.0681778847597265,0.423245873936808
"111","B1","August","18","B1_25",1.67,2.65,-1.442925042,0.0798188128406913,0.297640995,NA,-0.021058229,0.379208553,NA,1.34734762,NA,1.16997851,NA,58.89029,58.89029,-0.526307252305808,0.129479659546908,0.222716471147583
"112","B1","September","18","B1_25",2.78,1.67,1.820097505,NA,0.689491566,NA,0.171057181,0.297640995,NA,1.498465572,NA,1.34734762,NA,NA,NA,-0.1614710418334,0.175646769262187,0.444044795918076
"113","B1","May","18","B1_26",1.34,1.2,NA,0.319916717671501,0.310306708,NA,0.071653886,0.077306058,NA,0.922907784,NA,0.680950494,NA,NA,NA,-0.508208836030736,-0.0348416910658529,0.127104798364808
"114","B1","July","18","B1_26",1.55,1.34,0.246754775,NA,0.376403832,NA,0.106175577,0.310306708,NA,1.275611451,NA,0.922907784,NA,NA,NA,-0.424345963863316,0.10571840919415,0.190331698170291
"115","B1","May","18","B1_27",3.08,1.4,NA,2.23720101492415,0.534847146,NA,0.026026254,0.095791758,NA,1.080564858,NA,0.51116814,NA,NA,NA,-0.271770317294149,0.0336508393600764,0.488550716500444
"116","B1","June","18","B1_27",4.19,3.08,1.282379737,0.727905841272606,0.553285712,NA,-0.063562509,0.534847146,NA,2.072516223,NA,1.080564858,NA,NA,NA,-0.257050544822316,0.316497938755148,0.622214022966295
"117","B1","July","18","B1_27",4.63,4.19,0.312050419,NA,0.452470855,NA,-0.184764187,0.553285712,NA,2.159441672,NA,2.072516223,NA,NA,NA,-0.344409389763353,0.334341477950246,0.665580991017953
"118","B1","May","18","B1_28",4.26,2.94,NA,1.3003847487998,0.508799513,NA,-0.105580581,0.181758471,NA,1.058412254,NA,0.871231329,NA,NA,NA,-0.29345331304658,0.024654859348165,0.629409599102719
